Namespace(adv_steps=5, attSize=85, batch_size=512, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA1', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, ndh=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', ngh=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, resSize=2048, save_every=100, standardization=False, start_epoch=0, syn_num=3200, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  1653
# of training samples:  19832
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[178 /200 ]    |  0.9542  |  0.5500  |    0.5623    |   0.6636   | 0.6088  |
[179 /200 ]    |  0.9565  |  0.5564  |    0.5420    |   0.6887   | 0.6066  |
[180 /200 ]    |  0.9524  |  0.5524  |    0.5627    |   0.6608   | 0.6078  |
[181 /200 ]    |  0.9514  |  0.5438  |    0.5614    |   0.6638   | 0.6083  |
[182 /200 ]    |  0.9517  |  0.5532  |    0.5746    |   0.6317   | 0.6018  |
[183 /200 ]    |  0.9489  |  0.5490  |    0.5364    |   0.6918   | 0.6042  |
[184 /200 ]    |  0.9498  |  0.5483  |    0.5760    |   0.6315   | 0.6025  |
[185 /200 ]    |  0.9518  |  0.5514  |    0.5651    |   0.6356   | 0.5983  |
[186 /200 ]    |  0.9521  |  0.5476  |    0.5548    |   0.6651   | 0.6050  |
[187 /200 ]    |  0.9530  |  0.5466  |    0.5349    |   0.6921   | 0.6034  |
[188 /200 ]    |  0.9512  |  0.5496  |    0.5653    |   0.6653   | 0.6113  |
[189 /200 ]    |  0.9545  |  0.5574  |    0.5619    |   0.6566   | 0.6056  |
[190 /200 ]    |  0.9531  |  0.5542  |    0.5532    |   0.6635   | 0.6033  |
[191 /200 ]    |  0.9551  |  0.5526  |    0.5565    |   0.6637   | 0.6054  |
[192 /200 ]    |  0.9535  |  0.5489  |    0.5430    |   0.6653   | 0.5979  |
[193 /200 ]    |  0.9555  |  0.5465  |    0.5639    |   0.6639   | 0.6098  |
[194 /200 ]    |  0.9543  |  0.5512  |    0.5387    |   0.6894   | 0.6048  |
[195 /200 ]    |  0.9540  |  0.5527  |    0.5726    |   0.6347   | 0.6021  |
[196 /200 ]    |  0.9524  |  0.5489  |    0.5432    |   0.6923   | 0.6088  |
[197 /200 ]    |  0.9536  |  0.5478  |    0.5502    |   0.6908   | 0.6125  |
[198 /200 ]    |  0.9529  |  0.5503  |    0.5659    |   0.6645   | 0.6112  |
[199 /200 ]    |  0.9543  |  0.5520  |    0.5842    |   0.6384   | 0.6101  |
[200 /200 ]    |  0.9507  |  0.5547  |    0.5604    |   0.6679   | 0.6095  |
max H: 0.612537 in epoch: 197
