Namespace(adv_steps=5, att_size=85, batch_size=1024, beta1=0.5, class_embedding='att', classifier_lr=0.001, cls_weight=0.01, critic_iter=5, cuda=True, dataroot='/data0/docker/xingyun/mmcgan/data', dataset='AWA2', drop_rate=0.2, epsilon=0.0625, fusion_iter=2, gzsl=True, hfSize=512, image_embedding='res101', lambda1=10.0, lr=1e-05, manualSeed=None, matdataset=True, nclass_all=50, dis_hu=4096, nepoch=200, netD='', netD_name='MLP_CRITIC', netG='', netG_name='MLP_G', gen_hu=4096, ngpu=1, nrh1=1024, nrh2=512, nrh3=256, nrh4=128, ntrain_class=40, nz=85, outf='./checkpoint/', outname='awa2', preprocessing=True, pretrain_classifier='', print_every=1, r_hl=4, r_weight=1, res_size=2048, save_every=100, standardization=False, start_epoch=0, syn_num=2000, triple_batch_size=128, val_every=1, validation=False, workers=2)
Random Seed:  7420
# of training samples:  23527
MLP_G(
  (fc1): Linear(in_features=170, out_features=4096)
  (fc2): Linear(in_features=4096, out_features=2048)
  (lrelu): LeakyReLU(0.2, inplace)
  (relu): ReLU(inplace)
)
robDis(
  (fc1): Linear(in_features=2133, out_features=4096)
  (bin): Linear(in_features=4096, out_features=1)
  (multi): Linear(in_features=4096, out_features=40)
  (relu): ReLU(inplace)
)
EPOCH          |  D_cost  |  G_cost  |  ACC_unseen  |  ACC_seen  |    H    |
[148 /200 ]    |  0.9454  |  0.5598  |    0.5003    |   0.6477   | 0.5646  |
[149 /200 ]    |  0.9459  |  0.5577  |    0.5422    |   0.6411   | 0.5875  |
[150 /200 ]    |  0.9453  |  0.5541  |    0.5294    |   0.6444   | 0.5812  |
[151 /200 ]    |  0.9496  |  0.5564  |    0.5253    |   0.6535   | 0.5824  |
[152 /200 ]    |  0.9514  |  0.5581  |    0.5284    |   0.6494   | 0.5827  |
[153 /200 ]    |  0.9494  |  0.5596  |    0.5433    |   0.6466   | 0.5904  |
[154 /200 ]    |  0.9453  |  0.5608  |    0.5255    |   0.6476   | 0.5802  |
[155 /200 ]    |  0.9489  |  0.5593  |    0.5479    |   0.6487   | 0.5941  |
[156 /200 ]    |  0.9462  |  0.5617  |    0.5260    |   0.6473   | 0.5804  |
[157 /200 ]    |  0.9446  |  0.5596  |    0.5244    |   0.6523   | 0.5814  |
[158 /200 ]    |  0.9442  |  0.5602  |    0.5386    |   0.6364   | 0.5834  |
[159 /200 ]    |  0.9515  |  0.5618  |    0.5229    |   0.6507   | 0.5799  |
[160 /200 ]    |  0.9515  |  0.5558  |    0.5218    |   0.6499   | 0.5788  |
[161 /200 ]    |  0.9455  |  0.5553  |    0.5264    |   0.6442   | 0.5794  |
[162 /200 ]    |  0.9465  |  0.5635  |    0.5113    |   0.6545   | 0.5741  |
[163 /200 ]    |  0.9451  |  0.5599  |    0.4810    |   0.6992   | 0.5699  |
[164 /200 ]    |  0.9509  |  0.5607  |    0.4981    |   0.7069   | 0.5844  |
[165 /200 ]    |  0.9539  |  0.5581  |    0.5407    |   0.6494   | 0.5901  |
[166 /200 ]    |  0.9462  |  0.5541  |    0.5303    |   0.6477   | 0.5832  |
[167 /200 ]    |  0.9470  |  0.5556  |    0.5152    |   0.7021   | 0.5943  |
[168 /200 ]    |  0.9471  |  0.5611  |    0.5419    |   0.6522   | 0.5920  |
[169 /200 ]    |  0.9473  |  0.5678  |    0.5218    |   0.6423   | 0.5758  |
[170 /200 ]    |  0.9487  |  0.5509  |    0.5443    |   0.6407   | 0.5885  |
[171 /200 ]    |  0.9457  |  0.5533  |    0.5415    |   0.6465   | 0.5893  |
[172 /200 ]    |  0.9499  |  0.5558  |    0.5307    |   0.6464   | 0.5829  |
[173 /200 ]    |  0.9448  |  0.5510  |    0.5298    |   0.6416   | 0.5803  |
[174 /200 ]    |  0.9458  |  0.5575  |    0.5411    |   0.6500   | 0.5906  |
[175 /200 ]    |  0.9496  |  0.5547  |    0.5076    |   0.6946   | 0.5866  |
[176 /200 ]    |  0.9439  |  0.5500  |    0.5278    |   0.6404   | 0.5787  |
[177 /200 ]    |  0.9478  |  0.5604  |    0.5347    |   0.6455   | 0.5849  |
